table_name,column_name,data_type,is_nullable
audit_log_entries,instance_id,uuid,YES
audit_log_entries,id,uuid,NO
audit_log_entries,payload,json,YES
audit_log_entries,created_at,timestamp with time zone,YES
audit_log_entries,ip_address,character varying,NO
buckets,id,text,NO
buckets,name,text,NO
buckets,owner,uuid,YES
buckets,created_at,timestamp with time zone,YES
buckets,updated_at,timestamp with time zone,YES
buckets,public,boolean,YES
buckets,avif_autodetection,boolean,YES
buckets,file_size_limit,bigint,YES
buckets,allowed_mime_types,ARRAY,YES
buckets,owner_id,text,YES
buckets,type,USER-DEFINED,NO
buckets_analytics,name,text,NO
buckets_analytics,type,USER-DEFINED,NO
buckets_analytics,format,text,NO
buckets_analytics,created_at,timestamp with time zone,NO
buckets_analytics,updated_at,timestamp with time zone,NO
buckets_analytics,id,uuid,NO
buckets_analytics,deleted_at,timestamp with time zone,YES
buckets_vectors,id,text,NO
buckets_vectors,type,USER-DEFINED,NO
buckets_vectors,created_at,timestamp with time zone,NO
buckets_vectors,updated_at,timestamp with time zone,NO
current_weather,current_id,integer,NO
current_weather,request_id,integer,NO
current_weather,dt,bigint,NO
current_weather,temp,numeric,YES
current_weather,feels_like,numeric,YES
current_weather,pressure,integer,YES
current_weather,humidity,integer,YES
current_weather,dew_point,numeric,YES
current_weather,uvi,numeric,YES
current_weather,clouds,integer,YES
current_weather,visibility,integer,YES
current_weather,wind_speed,numeric,YES
current_weather,wind_deg,integer,YES
current_weather,wind_gust,numeric,YES
current_weather,rain_1h,numeric,YES
current_weather,snow_1h,numeric,YES
current_weather,condition_id,integer,YES
daily_weather,daily_id,integer,NO
daily_weather,request_id,integer,NO
daily_weather,dt,bigint,NO
daily_weather,sunrise,bigint,YES
daily_weather,sunset,bigint,YES
daily_weather,moonrise,bigint,YES
daily_weather,moonset,bigint,YES
daily_weather,moon_phase,numeric,YES
daily_weather,summary,text,YES
daily_weather,temp_morn,numeric,YES
daily_weather,temp_day,numeric,YES
daily_weather,temp_eve,numeric,YES
daily_weather,temp_night,numeric,YES
daily_weather,temp_min,numeric,YES
daily_weather,temp_max,numeric,YES
daily_weather,feels_morn,numeric,YES
daily_weather,feels_day,numeric,YES
daily_weather,feels_eve,numeric,YES
daily_weather,feels_night,numeric,YES
daily_weather,pressure,integer,YES
daily_weather,humidity,integer,YES
daily_weather,dew_point,numeric,YES
daily_weather,wind_speed,numeric,YES
daily_weather,wind_deg,integer,YES
daily_weather,wind_gust,numeric,YES
daily_weather,clouds,integer,YES
daily_weather,pop,numeric,YES
daily_weather,rain,numeric,YES
daily_weather,snow,numeric,YES
daily_weather,uvi,numeric,YES
daily_weather,condition_id,integer,YES
decrypted_secrets,id,uuid,YES
decrypted_secrets,name,text,YES
decrypted_secrets,description,text,YES
decrypted_secrets,secret,text,YES
decrypted_secrets,decrypted_secret,text,YES
decrypted_secrets,key_id,uuid,YES
decrypted_secrets,nonce,bytea,YES
decrypted_secrets,created_at,timestamp with time zone,YES
decrypted_secrets,updated_at,timestamp with time zone,YES
flow_state,id,uuid,NO
flow_state,user_id,uuid,YES
flow_state,auth_code,text,NO
flow_state,code_challenge_method,USER-DEFINED,NO
flow_state,code_challenge,text,NO
flow_state,provider_type,text,NO
flow_state,provider_access_token,text,YES
flow_state,provider_refresh_token,text,YES
flow_state,created_at,timestamp with time zone,YES
flow_state,updated_at,timestamp with time zone,YES
flow_state,authentication_method,text,NO
flow_state,auth_code_issued_at,timestamp with time zone,YES
hourly_weather,hourly_id,integer,NO
hourly_weather,request_id,integer,NO
hourly_weather,dt,bigint,NO
hourly_weather,temp,numeric,YES
hourly_weather,feels_like,numeric,YES
hourly_weather,pressure,integer,YES
hourly_weather,humidity,integer,YES
hourly_weather,dew_point,numeric,YES
hourly_weather,uvi,numeric,YES
hourly_weather,clouds,integer,YES
hourly_weather,visibility,integer,YES
hourly_weather,wind_speed,numeric,YES
hourly_weather,wind_deg,integer,YES
hourly_weather,wind_gust,numeric,YES
hourly_weather,pop,numeric,YES
hourly_weather,rain_1h,numeric,YES
hourly_weather,snow_1h,numeric,YES
hourly_weather,condition_id,integer,YES
identities,provider_id,text,NO
identities,user_id,uuid,NO
identities,identity_data,jsonb,NO
identities,provider,text,NO
identities,last_sign_in_at,timestamp with time zone,YES
identities,created_at,timestamp with time zone,YES
identities,updated_at,timestamp with time zone,YES
identities,email,text,YES
identities,id,uuid,NO
instances,id,uuid,NO
instances,uuid,uuid,YES
instances,raw_base_config,text,YES
instances,created_at,timestamp with time zone,YES
instances,updated_at,timestamp with time zone,YES
location,location_id,integer,NO
location,latitude,numeric,NO
location,longitude,numeric,NO
location,timezone,character varying,YES
location,timezone_offset,integer,YES
messages,topic,text,NO
messages,extension,text,NO
messages,payload,jsonb,YES
messages,event,text,YES
messages,private,boolean,YES
messages,updated_at,timestamp without time zone,NO
messages,inserted_at,timestamp without time zone,NO
messages,id,uuid,NO
mfa_amr_claims,session_id,uuid,NO
mfa_amr_claims,created_at,timestamp with time zone,NO
mfa_amr_claims,updated_at,timestamp with time zone,NO
mfa_amr_claims,authentication_method,text,NO
mfa_amr_claims,id,uuid,NO
mfa_challenges,id,uuid,NO
mfa_challenges,factor_id,uuid,NO
mfa_challenges,created_at,timestamp with time zone,NO
mfa_challenges,verified_at,timestamp with time zone,YES
mfa_challenges,ip_address,inet,NO
mfa_challenges,otp_code,text,YES
mfa_challenges,web_authn_session_data,jsonb,YES
mfa_factors,id,uuid,NO
mfa_factors,user_id,uuid,NO
mfa_factors,friendly_name,text,YES
mfa_factors,factor_type,USER-DEFINED,NO
mfa_factors,status,USER-DEFINED,NO
mfa_factors,created_at,timestamp with time zone,NO
mfa_factors,updated_at,timestamp with time zone,NO
mfa_factors,secret,text,YES
mfa_factors,phone,text,YES
mfa_factors,last_challenged_at,timestamp with time zone,YES
mfa_factors,web_authn_credential,jsonb,YES
mfa_factors,web_authn_aaguid,uuid,YES
mfa_factors,last_webauthn_challenge_data,jsonb,YES
migrations,id,integer,NO
migrations,name,character varying,NO
migrations,hash,character varying,NO
migrations,executed_at,timestamp without time zone,YES
minutely_weather,minutely_id,integer,NO
minutely_weather,request_id,integer,NO
minutely_weather,dt,bigint,NO
minutely_weather,precipitation,numeric,YES
oauth_authorizations,id,uuid,NO
oauth_authorizations,authorization_id,text,NO
oauth_authorizations,client_id,uuid,NO
oauth_authorizations,user_id,uuid,YES
oauth_authorizations,redirect_uri,text,NO
oauth_authorizations,scope,text,NO
oauth_authorizations,state,text,YES
oauth_authorizations,resource,text,YES
oauth_authorizations,code_challenge,text,YES
oauth_authorizations,code_challenge_method,USER-DEFINED,YES
oauth_authorizations,response_type,USER-DEFINED,NO
oauth_authorizations,status,USER-DEFINED,NO
oauth_authorizations,authorization_code,text,YES
oauth_authorizations,created_at,timestamp with time zone,NO
oauth_authorizations,expires_at,timestamp with time zone,NO
oauth_authorizations,approved_at,timestamp with time zone,YES
oauth_authorizations,nonce,text,YES
oauth_client_states,id,uuid,NO
oauth_client_states,provider_type,text,NO
oauth_client_states,code_verifier,text,YES
oauth_client_states,created_at,timestamp with time zone,NO
oauth_clients,id,uuid,NO
oauth_clients,client_secret_hash,text,YES
oauth_clients,registration_type,USER-DEFINED,NO
oauth_clients,redirect_uris,text,NO
oauth_clients,grant_types,text,NO
oauth_clients,client_name,text,YES
oauth_clients,client_uri,text,YES
oauth_clients,logo_uri,text,YES
oauth_clients,created_at,timestamp with time zone,NO
oauth_clients,updated_at,timestamp with time zone,NO
oauth_clients,deleted_at,timestamp with time zone,YES
oauth_clients,client_type,USER-DEFINED,NO
oauth_consents,id,uuid,NO
oauth_consents,user_id,uuid,NO
oauth_consents,client_id,uuid,NO
oauth_consents,scopes,text,NO
oauth_consents,granted_at,timestamp with time zone,NO
